[0. 0. 0. 0. 0. 0.][1. 0. 1. 1. 0. 2.][1. 0. 1. 0. 0. 1.],74.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 1. 0. 2.][1. 0. 0. 1. 0. 1.],40.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 1. 0. 2.][1. 0. 0. 0. 0. 2.],18.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 1. 0. 2.][0. 0. 1. 1. 0. 1.],3482.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 1. 0. 2.][0. 0. 1. 0. 0. 2.],40.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 1. 0. 2.][0. 0. 0. 1. 0. 2.],44.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 1. 0. 2.][1. 0. 1. 1. 0. 1.],1053.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 1. 0. 2.][1. 0. 1. 0. 0. 2.],13.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 1. 0. 2.][1. 0. 0. 1. 0. 2.],6.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 1. 0. 2.][0. 0. 1. 1. 0. 2.],128.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 1. 0. 2.][1. 0. 1. 1. 0. 2.],0.0
[0. 0. 0. 1. 0. 1.][0. 0. 3. 0. 0. 0.][0. 0. 0. 0. 0. 0.],0.0
[0. 0. 0. 1. 0. 1.][0. 0. 3. 0. 0. 0.][0. 0. 1. 0. 0. 0.],85.0
[0. 0. 0. 1. 0. 1.][0. 0. 3. 0. 0. 0.][0. 0. 2. 0. 0. 0.],0.0
[0. 0. 0. 1. 0. 1.][0. 0. 3. 0. 0. 0.][0. 0. 3. 0. 0. 0.],1.0
[0. 0. 0. 0. 0. 0.][2. 1. 0. 1. 0. 1.][0. 0. 0. 0. 0. 0.],109.0
[0. 0. 0. 0. 0. 0.][2. 1. 0. 1. 0. 1.][1. 0. 0. 0. 0. 0.],14.0
[0. 0. 0. 0. 0. 0.][2. 1. 0. 1. 0. 1.][0. 1. 0. 0. 0. 0.],5.0
[0. 0. 0. 0. 0. 0.][2. 1. 0. 1. 0. 1.][0. 0. 0. 1. 0. 0.],101.0
[0. 0. 0. 0. 0. 0.][2. 1. 0. 1. 0. 1.][0. 0. 0. 0. 0. 1.],153.0
[0. 0. 0. 0. 0. 0.][2. 1. 0. 1. 0. 1.][2. 0. 0. 0. 0. 0.],10.0
[0. 0. 0. 0. 0. 0.][2. 1. 0. 1. 0. 1.][1. 1. 0. 0. 0. 0.],12.0
[0. 0. 0. 0. 0. 0.][2. 1. 0. 1. 0. 1.][1. 0. 0. 1. 0. 0.],354.0
[0. 0. 0. 0. 0. 0.][2. 1. 0. 1. 0. 1.][1. 0. 0. 0. 0. 1.],44.0
[0. 0. 0. 0. 0. 0.][2. 1. 0. 1. 0. 1.][0. 1. 0. 1. 0. 0.],727.0
[0. 0. 0. 0. 0. 0.][2. 1. 0. 1. 0. 1.][0. 1. 0. 0. 0. 1.],25.0
