Average Reward,Percentage of correct action
5.319217938060604,0.99944
1.6501396676116882,0.96449
3.265363091401226,0.05946
2.7403175541842733,0.99938
3.3868687216052193,0.00038
2.931134807813627,0.92646
6.017886526393812,0.99798
2.5259800254550306,0.99846
1.7729577449812306,0.70719
2.377251542611687,0.98759
4.191546972730935,0.99938
3.0562036832698354,0.99146
4.394684024158966,0.99876
2.0629631184246833,0.01995
3.9882559306071514,0.9975
1.71496066089206,0.01606
3.597162967317137,0.99952
3.274313194299834,0.99913
1.954781895294912,0.9533
3.4213716554451374,0.99814
2.595735692070825,0.99801
6.838841444768066,0.99983
1.1189871327133936,0.14842
4.584983674915383,0.05358
3.8256360446358806,0.9986
2.619688785687282,0.99871
2.320197178457396,0.90101
3.4411036443842318,0.95393
3.257143149218493,0.80881
3.293480301508972,0.99627
3.282406794514587,0.99859
3.99014916356123,0.99883
1.9401028607424908,0.97522
3.361343784661353,0.99896
3.831360397269045,0.99653
2.7046699796997244,0.99875
2.592168925244592,0.01551
3.2007468436825195,0.99184
3.281775413848236,0.98365
5.012848511348895,0.99755
1.3017369827114906,0.91545
1.8479640696853172,0.99964
3.4247028151449745,0.99902
0.9895750179094329,0.03491
3.437749320057956,0.99795
2.9549384770840814,0.98946
2.4932824214745626,0.99287
2.9622655779195974,0.0006
1.7298242100601111,0.94594
4.344764139974293,0.99504
3.983078500789803,0.98992
2.843093744798786,0.87428
1.338676465967933,0.99647
2.7665983839556096,0.99901
3.52138101488738,0.9994
4.715054990491166,0.99736
2.6912351591627153,0.44863
3.19182457115663,0.01883
4.15423780338478,0.99789
2.6605763577833517,0.99247
4.1526082361208365,0.98934
2.065342113988097,0.99971
2.986320661675884,0.34433
4.152916552333045,0.97112
3.228880315320096,0.99897
4.348349972333147,0.99955
3.320900611367809,0.55992
0.984058313227035,0.24102
1.8856178691320593,0.99336
1.7998039154671102,0.98162
2.218477121283769,0.99729
5.377520067779499,0.85126
2.8969769512709864,0.99753
2.355178342322298,0.98401
4.333078489045641,0.99962
2.412920984175171,0.67992
0.9552711646551749,0.06151
2.1480262742871066,0.99903
1.7641223186755,0.00946
3.721162369538248,0.99938
4.4525744269356355,0.99836
2.294785877504639,0.99619
4.869008363875794,0.99797
4.138703266686408,0.66779
2.2153131898219947,0.97058
2.9572623458914977,0.99931
2.471852708912368,0.23195
2.646043048214176,0.95453
3.035577120882546,0.96328
4.157792492232031,0.9995
5.201084939419942,0.99952
2.576644574397935,0.85764
5.729249294029633,0.99968
4.399317334884689,0.99965
2.182805720292855,0.69807
1.4572883802954615,0.35212
3.6518300551262257,0.01785
3.3583438942235233,0.9949
4.0152325149264785,0.99294
3.8348338753746933,0.97919
4.151734272876553,0.99759
2.5294097353125466,0.6307
4.304492514079495,0.99953
3.370458881031412,0.94293
3.395393820263367,0.80009
3.4176687021749617,0.98017
4.560694654876562,0.97449
3.6916630994030624,0.99674
4.016504188423991,0.99932
3.0668042280082912,0.99939
3.843383947062319,0.9928
2.1454629292256686,0.9967
3.4530444496383215,0.7948
2.775860673002642,0.99859
2.1320123830136457,0.02342
2.9590417289205124,0.81114
2.319713248895554,0.80305
1.0594610518401015,0.99148
2.8624545553859084,0.02886
3.747107811567217,0.99705
1.6365399664068632,0.94678
2.5633217235283428,0.91867
3.5044483157174224,0.99923
1.7577332472258174,0.9896
2.4944431208419307,0.2446
2.8052128747961844,0.49958
3.7390254374873693,0.99962
2.192654728861417,0.58062
4.734238205731328,0.93963
3.65459418608243,0.99746
1.7679974169337385,0.99665
4.285247884111079,0.00125
2.2153450392476794,0.67916
2.1106342931375166,0.99274
2.8004927274995244,0.91763
4.1470221045817635,0.99761
1.8184003347943278,0.93766
5.24584071881695,0.99404
3.58172214138142,0.9946
1.8259208241172173,0.09539
1.3547427243829664,0.00748
3.7156577089655953,0.02003
4.8232413926975495,0.99923
3.852291590340096,0.99838
2.1219161198845637,0.98543
4.339400845930595,0.99958
3.7128612306494855,0.99939
5.68697087176303,0.99887
4.798231299264765,0.2685
2.6682980137480783,0.85322
1.908678954614611,0.99527
3.5359569092776892,0.99924
1.4566603260785629,0.77147
3.167172808730134,0.97544
1.5131911157867481,0.28676
1.3581133067401614,0.21782
1.1232876507955152,0.97903
4.383769774843437,0.92628
4.1791761641141,0.97587
4.632026721780412,0.99967
2.952966544573378,0.95372
2.391748603488548,0.07126
2.14282092100712,0.97414
1.596052774166691,0.97157
1.7147525319812567,0.90105
3.252903269592931,0.95116
2.9883865602333697,0.99963
1.9190269517314855,0.9755
3.0833499758411977,0.00453
2.4429718551184125,0.95029
2.888261369342674,0.99759
4.504320005568159,0.93426
2.5090071637939375,0.98639
1.4964997779347242,0.99257
2.6084061309268587,0.92901
2.845692911889123,0.99268
1.8524844993222758,0.93759
1.934613680602938,0.99298
4.068283206278711,0.99876
4.542471327994152,0.99942
2.681767879395653,0.99923
2.570095804538944,0.99507
4.18054111887191,0.99952
2.9420027413299947,0.98347
3.071942703113906,0.76078
2.761487956753949,0.99859
2.099401751994168,0.00239
5.300063703467646,0.99959
3.6504369921512487,0.99931
5.2362051101052085,0.99951
3.8666382186524673,0.96448
2.145276069952007,0.53087
1.1726286491344058,0.90058
3.879147357015774,0.99913
3.719021412575698,0.97418
0.6841516887974468,0.95492
3.1641205030017385,0.99948
1.0002994359991202,0.83087
3.17372497575526,0.99914
2.6577688247036004,0.99856
2.660454234020279,0.91263
2.6622703112142534,0.85082
4.18577664770317,0.99971
6.067501214803984,0.99515
4.283887214194624,0.99744
4.0624599755775215,0.99488
2.3370940322433174,0.97815
3.6093786401723325,0.99875
2.6476329062536035,0.81534
1.7182308049572683,0.02467
1.9274878360329355,0.94772
3.9724520369746927,0.99945
2.560144926742568,0.99342
1.1856435763089606,0.98422
3.1399241714971566,0.99733
4.2516505223044225,0.99093
4.2005618103969455,0.99528
2.725350077650021,0.98693
4.420329319971612,0.99963
2.136728105842201,0.99709
0.19165600834255164,0.28886
2.754651270866319,0.89466
3.5284506048165167,0.98805
5.861324769716954,0.99752
1.9038769012163388,0.99011
2.0767047674745194,0.9941
0.9276155602077878,0.99384
4.124659126337615,0.99931
1.6678217197665612,0.51826
4.178972042053866,0.99557
1.691086745989107,0.99509
0.30734149666416505,0.73606
2.024482665717434,0.99904
2.1044895781633435,0.99026
3.309672646638352,0.95413
3.3212415944637033,0.99565
3.296798414861544,0.93457
2.594377632881152,0.99943
2.875892973505964,0.00582
3.1279920081835217,0.98774
2.4954762606138483,0.25102
3.448029454418602,0.99725
1.502318348490253,0.99226
3.0364122409840966,0.99846
2.5681680305711216,0.9981
4.082362192627763,0.99942
3.756021759493401,0.90511
4.195071074307926,0.00327
2.1987150180330914,0.99757
5.076156571119422,0.99914
4.62407342995309,0.99803
1.4893823504507606,0.99608
1.8780048327545402,0.99402
2.8108972286851257,0.50431
